
[parse_sam] # Query: 0 len=1163
CUFF.234.1: no touched! length 1275
CUFF.235.1: no touched! length 4759
CUFF.236.1: no touched! length 832
CUFF.237.1: no touched! length 3712
CUFF.238.1: no touched! length 3311
CUFF.239.1: no touched! length 2106
CUFF.240.1: no touched! length 1847
CUFF.241.1: no touched! length 1298
CUFF.242.1: no touched! length 1437
CUFF.243.1: no touched! length 1746
CUFF.244.1: no touched! length 680
CUFF.245.1: no touched! length 1131
CUFF.246.1: no touched! length 3460
CUFF.247.1: no touched! length 3106
CUFF.248.1: no touched! length 4515
CUFF.249.1: no touched! length 2882
CUFF.250.1: no touched! length 875
CUFF.251.1: no touched! length 948
CUFF.252.1: no touched! length 2763
CUFF.253.1: no touched! length 651
CUFF.254.1: no touched! length 2172
CUFF.255.1: no touched! length 5094
CUFF.256.1: no touched! length 1330
CUFF.257.1: no touched! length 4776
CUFF.258.1: no touched! length 2071
CUFF.259.1: no touched! length 2451
CUFF.260.1: no touched! length 2715
CUFF.261.1: no touched! length 997
CUFF.262.1: no touched! length 924
CUFF.263.1: no touched! length 1747
CUFF.264.1: no touched! length 2000
CUFF.265.1: no touched! length 678
CUFF.266.1: no touched! length 6606
CUFF.267.1: no touched! length 3274
CUFF.268.1: no touched! length 2963
CUFF.269.1: no touched! length 3502
CUFF.270.1: no touched! length 1851
CUFF.271.1: no touched! length 3425
CUFF.272.1: no touched! length 2222
CUFF.273.1: no touched! length 3365
CUFF.274.1: no touched! length 1709
CUFF.275.1: no touched! length 2177
CUFF.276.1: no touched! length 2535
CUFF.277.1: no touched! length 1795
CUFF.278.1: no touched! length 426
CUFF.279.1: no touched! length 1838
CUFF.280.1: no touched! length 2538
CUFF.281.1: no touched! length 2458
CUFF.282.1: no touched! length 755
CUFF.283.1: no touched! length 522
CUFF.284.1: no touched! length 1118
CUFF.285.1: no touched! length 1988
CUFF.286.1: no touched! length 3503
CUFF.287.1: no touched! length 1297
CUFF.288.1: no touched! length 4504
CUFF.289.1: no touched! length 2427
CUFF.290.1: no touched! length 3711
CUFF.291.1: no touched! length 1896
CUFF.292.1: no touched! length 1717
CUFF.293.1: no touched! length 1665
CUFF.294.1: no touched! length 4991
CUFF.295.1: no touched! length 2884
CUFF.296.1: no touched! length 1773
CUFF.297.1: no touched! length 2393
CUFF.298.1: no touched! length 1802
CUFF.299.1: no touched! length 1963
CUFF.300.1: no touched! length 1223
CUFF.301.1: no touched! length 6250
CUFF.302.1: no touched! length 1438
CUFF.303.1: no touched! length 1858
CUFF.304.1: no touched! length 1099
CUFF.305.1: no touched! length 1502
CUFF.306.1: no touched! length 1858
CUFF.307.1: no touched! length 856
CUFF.308.1: no touched! length 432
CUFF.309.1: no touched! length 1679
CUFF.310.1: no touched! length 1066
CUFF.311.1: no touched! length 2376
CUFF.312.1: no touched! length 1630
CUFF.313.1: no touched! length 3974
CUFF.314.1: no touched! length 1384
CUFF.315.1: no touched! length 2945
CUFF.316.1: no touched! length 9361
CUFF.317.1: no touched! length 3257
CUFF.318.1: no touched! length 2461
CUFF.319.1: no touched! length 3185
CUFF.320.1: no touched! length 1797
CUFF.321.1: no touched! length 1668
CUFF.322.1: no touched! length 1849
CUFF.323.1: no touched! length 799
CUFF.324.1: no touched! length 355
CUFF.325.1: no touched! length 4069
CUFF.326.1: no touched! length 2130
CUFF.327.1: no touched! length 3526
CUFF.328.1: no touched! length 1424
CUFF.329.1: no touched! length 1366
CUFF.330.1: no touched! length 3671
CUFF.331.1: no touched! length 2410
CUFF.332.1: no touched! length 3553
CUFF.333.1: no touched! length 5237
CUFF.334.1: no touched! length 6089
CUFF.335.1: no touched! length 1665
CUFF.336.1: no touched! length 1557
CUFF.337.1: no touched! length 1395
CUFF.338.1: no touched! length 2185
CUFF.339.1: no touched! length 751
CUFF.340.1: no touched! length 2186
CUFF.341.1: no touched! length 8459
CUFF.342.1: no touched! length 737
CUFF.343.1: no touched! length 737
CUFF.344.1: no touched! length 737
CUFF.345.1: no touched! length 678
CUFF.346.1: no touched! length 1778
CUFF.347.1: no touched! length 5388
CUFF.348.1: no touched! length 1916
CUFF.349.1: no touched! length 4772
CUFF.350.1: no touched! length 1140
CUFF.351.1: no touched! length 2333
CUFF.352.1: no touched! length 2759
CUFF.353.1: no touched! length 1671
CUFF.354.1: no touched! length 863
CUFF.355.1: no touched! length 1624
CUFF.356.1: no touched! length 1241
CUFF.357.1: no touched! length 1320
CUFF.358.1: no touched! length 1515
CUFF.359.1: no touched! length 1272
CUFF.360.1: no touched! length 309
CUFF.361.1: no touched! length 730
CUFF.362.1: no touched! length 5076
CUFF.363.1: no touched! length 4387
CUFF.364.1: no touched! length 3169
CUFF.365.1: no touched! length 976
CUFF.366.1: no touched! length 717
CUFF.367.1: no touched! length 728
CUFF.368.1: no touched! length 3615
CUFF.369.1: no touched! length 4168
CUFF.370.1: no touched! length 4224
CUFF.371.1: no touched! length 3174
CUFF.372.1: no touched! length 1307
CUFF.373.1: no touched! length 1448
CUFF.374.1: no touched! length 2829
CUFF.375.1: no touched! length 1238
CUFF.376.1: no touched! length 4383
CUFF.377.1: no touched! length 1230
CUFF.378.1: no touched! length 9057
CUFF.379.1: no touched! length 781
CUFF.380.1: no touched! length 4817
CUFF.381.1: no touched! length 2981
CUFF.382.1: no touched! length 2320
CUFF.383.1: no touched! length 4042
CUFF.384.1: no touched! length 357
CUFF.385.1: no touched! length 470
CUFF.386.1: no touched! length 1834
CUFF.387.1: no touched! length 1560
CUFF.388.1: no touched! length 2460
CUFF.389.1: no touched! length 2168
CUFF.390.1: no touched! length 10348
CUFF.391.1: no touched! length 9674
CUFF.392.1: no touched! length 1154
CUFF.393.1: no touched! length 798
CUFF.394.1: no touched! length 3924
CUFF.395.1: no touched! length 4388
CUFF.396.1: no touched! length 2690
CUFF.397.1: no touched! length 3394
CUFF.398.1: no touched! length 1196
CUFF.399.1: no touched! length 690
CUFF.400.1: no touched! length 3997
CUFF.401.1: no touched! length 2411
CUFF.402.1: no touched! length 10085
CUFF.403.1: no touched! length 3753
CUFF.404.1: no touched! length 10685
CUFF.405.1: no touched! length 943
CUFF.406.1: no touched! length 7226
CUFF.407.1: no touched! length 2562
CUFF.408.1: no touched! length 2025
CUFF.409.1: no touched! length 259
CUFF.410.1: no touched! length 2426
CUFF.411.1: no touched! length 1655
CUFF.412.1: no touched! length 4109
CUFF.413.1: no touched! length 3003
CUFF.414.1: no touched! length 1172
CUFF.415.1: no touched! length 729
CUFF.416.1: no touched! length 2940
CUFF.417.1: no touched! length 1547
CUFF.418.1: no touched! length 1351
CUFF.419.1: no touched! length 849
CUFF.420.1: no touched! length 2642
CUFF.421.1: no touched! length 1824
CUFF.422.1: no touched! length 2644
CUFF.423.1: no touched! length 7617
CUFF.424.1: no touched! length 3623
CUFF.425.1: no touched! length 5995
CUFF.426.1: no touched! length 1085
CUFF.427.1: no touched! length 3612
CUFF.428.1: no touched! length 3312
CUFF.429.1: no touched! length 1567
CUFF.430.1: no touched! length 1203
CUFF.431.1: no touched! length 2249
CUFF.432.1: no touched! length 4003
CUFF.433.1: no touched! length 3314
CUFF.434.1: no touched! length 1004
CUFF.435.1: no touched! length 988
CUFF.436.1: no touched! length 1802
CUFF.437.1: no touched! length 651
CUFF.438.1: no touched! length 1132
CUFF.439.1: no touched! length 2489
CUFF.440.1: no touched! length 1103
CUFF.441.1: no touched! length 2715
CUFF.442.1: no touched! length 1167
CUFF.443.1: no touched! length 1498
CUFF.444.1: no touched! length 1788
CUFF.445.1: no touched! length 2309
CUFF.446.1: no touched! length 6771
CUFF.447.1: no touched! length 3751
CUFF.448.1: no touched! length 1350
CUFF.449.1: no touched! length 4403
CUFF.450.1: no touched! length 3133
CUFF.451.1: no touched! length 2599
CUFF.452.1: no touched! length 1118
CUFF.453.1: no touched! length 2088
CUFF.454.1: no touched! length 2099
CUFF.455.1: no touched! length 2909
CUFF.456.1: no touched! length 951
CUFF.457.1: no touched! length 3251
CUFF.458.1: no touched! length 769
CUFF.459.1: no touched! length 2169
CUFF.460.1: no touched! length 2759
CUFF.461.1: no touched! length 247
CUFF.462.1: no touched! length 1986
CUFF.463.1: no touched! length 1860
CUFF.464.1: no touched! length 4341
CUFF.465.1: no touched! length 4470
CUFF.466.1: no touched! length 2149
CUFF.467.1: no touched! length 4308
CUFF.468.1: no touched! length 2913
CUFF.469.1: no touched! length 2528
CUFF.470.1: no touched! length 1056
CUFF.471.1: no touched! length 3067
CUFF.472.1: no touched! length 924
CUFF.473.1: no touched! length 3584
CUFF.474.1: no touched! length 833
CUFF.475.1: no touched! length 2337
CUFF.476.1: no touched! length 971
CUFF.477.1: no touched! length 3386
CUFF.478.1: no touched! length 884
CUFF.479.1: no touched! length 444
CUFF.480.1: no touched! length 334
CUFF.481.1: no touched! length 2001
CUFF.482.1: no touched! length 697
CUFF.483.1: no touched! length 481
CUFF.484.1: no touched! length 5682
CUFF.485.1: no touched! length 5789
CUFF.486.1: no touched! length 6661
CUFF.487.1: no touched! length 1037
CUFF.488.1: no touched! length 847
CUFF.489.1: no touched! length 3360
CUFF.490.1: no touched! length 645
CUFF.491.1: no touched! length 1984
CUFF.492.1: no touched! length 633
CUFF.493.1: no touched! length 2306
CUFF.494.1: no touched! length 2113
CUFF.495.1: no touched! length 3095
CUFF.496.1: no touched! length 1381
CUFF.497.1: no touched! length 2444
CUFF.498.1: no touched! length 2965
CUFF.499.1: no touched! length 2186
CUFF.500.1: no touched! length 1523
CUFF.501.1: no touched! length 5132
CUFF.502.1: no touched! length 3474
CUFF.503.1: no touched! length 3025
CUFF.504.1: no touched! length 5336
CUFF.505.1: no touched! length 1174
CUFF.506.1: no touched! length 2587
CUFF.507.1: no touched! length 3499
CUFF.508.1: no touched! length 4543
CUFF.509.1: no touched! length 2105
CUFF.510.1: no touched! length 2372
CUFF.511.1: no touched! length 2413
CUFF.512.1: no touched! length 669
CUFF.513.1: no touched! length 1015
CUFF.514.1: no touched! length 2351
CUFF.515.1: no touched! length 3201
CUFF.516.1: no touched! length 2372
CUFF.517.1: no touched! length 1563
CUFF.518.1: no touched! length 5745
CUFF.519.1: no touched! length 2638
CUFF.520.1: no touched! length 5549
CUFF.521.1: no touched! length 1321
CUFF.522.1: no touched! length 4318
CUFF.523.1: no touched! length 900
CUFF.524.1: no touched! length 3536
CUFF.525.1: no touched! length 1780
CUFF.526.1: no touched! length 2344
CUFF.527.1: no touched! length 2101
CUFF.528.1: no touched! length 841
CUFF.529.1: no touched! length 1493
CUFF.530.1: no touched! length 1551
CUFF.531.1: no touched! length 1447
CUFF.532.1: no touched! length 2879
CUFF.533.1: no touched! length 3171
CUFF.534.1: no touched! length 7709
CUFF.535.1: no touched! length 2576
CUFF.536.1: no touched! length 1835
CUFF.537.1: no touched! length 2879
CUFF.538.1: no touched! length 2759
CUFF.539.1: no touched! length 932
CUFF.540.1: no touched! length 2513
CUFF.541.1: no touched! length 3732
CUFF.542.1: no touched! length 1843
CUFF.543.1: no touched! length 1254
CUFF.544.1: no touched! length 1731
CUFF.545.1: no touched! length 5310
CUFF.546.1: no touched! length 860
CUFF.547.1: no touched! length 3125
CUFF.548.1: no touched! length 4065
CUFF.549.1: no touched! length 3997
CUFF.550.1: no touched! length 2588
CUFF.551.1: no touched! length 4349
CUFF.552.1: no touched! length 996
CUFF.553.1: no touched! length 3089
CUFF.554.1: no touched! length 3095
CUFF.555.1: no touched! length 1868
CUFF.556.1: no touched! length 4513
CUFF.557.1: no touched! length 4062
CUFF.558.1: no touched! length 937
CUFF.559.1: no touched! length 2514
CUFF.560.1: no touched! length 1020
CUFF.561.1: no touched! length 1765
CUFF.562.1: no touched! length 4086
CUFF.563.1: no touched! length 4142
CUFF.564.1: no touched! length 2534
CUFF.565.1: no touched! length 2833
CUFF.566.1: no touched! length 1119
CUFF.567.1: no touched! length 1846
CUFF.568.1: no touched! length 610
CUFF.569.1: no touched! length 3109
CUFF.570.1: no touched! length 2992
CUFF.571.1: no touched! length 3238
CUFF.572.1: no touched! length 4843
CUFF.573.1: no touched! length 3307
CUFF.574.1: no touched! length 5526
CUFF.575.1: no touched! length 1161
CUFF.576.1: no touched! length 2295
CUFF.577.1: no touched! length 523
CUFF.578.1: no touched! length 5062
CUFF.579.1: no touched! length 1746
CUFF.580.1: no touched! length 3660
CUFF.581.1: no touched! length 628
CUFF.582.1: no touched! length 3412
CUFF.583.1: no touched! length 1993
CUFF.584.1: no touched! length 1640
CUFF.585.1: no touched! length 4971
CUFF.586.1: no touched! length 966
CUFF.587.1: no touched! length 1605
CUFF.588.1: no touched! length 2114
CUFF.589.1: no touched! length 2103
CUFF.590.1: no touched! length 4266
CUFF.591.1: no touched! length 4672
CUFF.592.1: no touched! length 3997
CUFF.593.1: no touched! length 863
CUFF.594.1: no touched! length 2434
CUFF.595.1: no touched! length 3872
CUFF.596.1: no touched! length 1160
CUFF.597.1: no touched! length 540
CUFF.598.1: no touched! length 2556
CUFF.599.1: no touched! length 3394
CUFF.600.1: no touched! length 731
CUFF.601.1: no touched! length 2162
CUFF.602.1: no touched! length 5061
CUFF.603.1: no touched! length 1455
CUFF.604.1: no touched! length 831
CUFF.605.1: no touched! length 6732
CUFF.606.1: no touched! length 2554
CUFF.607.1: no touched! length 9725
CUFF.608.1: no touched! length 930
CUFF.609.1: no touched! length 316
CUFF.610.1: no touched! length 1228
CUFF.611.1: no touched! length 4683
CUFF.612.1: no touched! length 4206
CUFF.613.1: no touched! length 4424
CUFF.614.1: no touched! length 3864
CUFF.615.1: no touched! length 1575
CUFF.616.1: no touched! length 5830
CUFF.617.1: no touched! length 851
CUFF.618.1: no touched! length 7310
CUFF.619.1: no touched! length 1079
CUFF.620.1: no touched! length 2580
CUFF.621.1: no touched! length 4368
CUFF.622.1: no touched! length 2172
CUFF.623.1: no touched! length 3896
CUFF.624.1: no touched! length 3421
CUFF.625.1: no touched! length 1317
CUFF.626.1: no touched! length 705
CUFF.627.1: no touched! length 1283
CUFF.628.1: no touched! length 2199
CUFF.629.1: no touched! length 4393
CUFF.630.1: no touched! length 342
CUFF.631.1: no touched! length 1313
CUFF.632.1: no touched! length 2949
CUFF.633.1: no touched! length 4319
CUFF.634.1: no touched! length 4338
CUFF.635.1: no touched! length 3069
CUFF.636.1: no touched! length 2219
CUFF.637.1: no touched! length 3525
CUFF.638.1: no touched! length 3025
CUFF.639.1: no touched! length 1734
CUFF.640.1: no touched! length 3044
CUFF.641.1: no touched! length 659
CUFF.642.1: no touched! length 3469
CUFF.643.1: no touched! length 1678
CUFF.644.1: no touched! length 3351
CUFF.645.1: no touched! length 4612
CUFF.646.1: no touched! length 1781
CUFF.647.1: no touched! length 2012
CUFF.648.1: no touched! length 3548
CUFF.649.1: no touched! length 2921
CUFF.650.1: no touched! length 4247
CUFF.651.1: no touched! length 2531
CUFF.652.1: no touched! length 863
CUFF.653.1: no touched! length 5157
CUFF.654.1: no touched! length 1823
CUFF.655.1: no touched! length 3312
CUFF.656.1: no touched! length 2377
CUFF.657.1: no touched! length 4206
CUFF.658.1: no touched! length 1704
CUFF.659.1: no touched! length 516
CUFF.660.1: no touched! length 3558
CUFF.661.1: no touched! length 1028
CUFF.662.1: no touched! length 2653
CUFF.663.1: no touched! length 1330
CUFF.664.1: no touched! length 3752
CUFF.665.1: no touched! length 2054
CUFF.666.1: no touched! length 1805
CUFF.667.1: no touched! length 1832
CUFF.668.1: no touched! length 3467
CUFF.669.1: no touched! length 2432
CUFF.670.1: no touched! length 1667
CUFF.671.1: no touched! length 3083
CUFF.672.1: no touched! length 1365
CUFF.673.1: no touched! length 4130
CUFF.674.1: no touched! length 1694
CUFF.675.1: no touched! length 2632
CUFF.676.1: no touched! length 1108
CUFF.677.1: no touched! length 919
CUFF.678.1: no touched! length 3445
CUFF.679.1: no touched! length 4931
CUFF.680.1: no touched! length 2852
CUFF.681.1: no touched! length 722
CUFF.682.1: no touched! length 3351
CUFF.683.1: no touched! length 1500
CUFF.684.1: no touched! length 3493
CUFF.685.1: no touched! length 2349
CUFF.686.1: no touched! length 1450
CUFF.687.1: no touched! length 5778
CUFF.688.1: no touched! length 1036
CUFF.689.1: no touched! length 1404
CUFF.690.1: no touched! length 2557
CUFF.691.1: no touched! length 2441
CUFF.692.1: no touched! length 2236
CUFF.693.1: no touched! length 2364
CUFF.694.1: no touched! length 2221
CUFF.695.1: no touched! length 1106
CUFF.696.1: no touched! length 2016
CUFF.697.1: no touched! length 1602
CUFF.698.1: no touched! length 1589
CUFF.699.1: no touched! length 1385
CUFF.700.1: no touched! length 1400
CUFF.701.1: no touched! length 1272
CUFF.702.1: no touched! length 2789
CUFF.703.1: no touched! length 4717
CUFF.704.1: no touched! length 227
CUFF.705.1: no touched! length 779
CUFF.706.1: no touched! length 249
CUFF.707.1: no touched! length 3700
CUFF.708.1: no touched! length 3500
CUFF.709.1: no touched! length 2787
CUFF.710.1: no touched! length 1004
CUFF.711.1: no touched! length 1032
CUFF.712.1: no touched! length 1196
CUFF.713.1: no touched! length 2056
CUFF.714.1: no touched! length 1843
CUFF.715.1: no touched! length 3071
CUFF.716.1: no touched! length 4271
CUFF.717.1: no touched! length 2344
CUFF.718.1: no touched! length 1059
CUFF.719.1: no touched! length 3101
CUFF.720.1: no touched! length 1916
CUFF.721.1: no touched! length 1289
CUFF.722.1: no touched! length 1411
CUFF.723.1: no touched! length 795
CUFF.724.1: no touched! length 4559
CUFF.725.1: no touched! length 4179
CUFF.726.1: no touched! length 6896
CUFF.727.1: no touched! length 1694
CUFF.728.1: no touched! length 4483
CUFF.729.1: no touched! length 1657
CUFF.730.1: no touched! length 679
CUFF.731.1: no touched! length 4023
CUFF.732.1: no touched! length 1924
CUFF.733.1: no touched! length 1251
CUFF.734.1: no touched! length 831
CUFF.735.1: no touched! length 680
CUFF.736.1: no touched! length 3111
CUFF.737.1: no touched! length 1025
CUFF.738.1: no touched! length 879
CUFF.739.1: no touched! length 2548
CUFF.740.1: no touched! length 1942
CUFF.741.1: no touched! length 354
CUFF.742.1: no touched! length 3794
CUFF.743.1: no touched! length 3678
CUFF.744.1: no touched! length 3326
CUFF.745.1: no touched! length 1746
CUFF.746.1: no touched! length 3595
CUFF.747.1: no touched! length 1579
CUFF.748.1: no touched! length 1620
CUFF.749.1: no touched! length 1475
CUFF.750.1: no touched! length 716
CUFF.751.1: no touched! length 2455
CUFF.752.1: no touched! length 4055
CUFF.753.1: no touched! length 4387
CUFF.754.1: no touched! length 1434
CUFF.755.1: no touched! length 1292
CUFF.756.1: no touched! length 579
CUFF.757.1: no touched! length 3087
CUFF.758.1: no touched! length 1116
CUFF.759.1: no touched! length 3989
CUFF.760.1: no touched! length 1310
CUFF.761.1: no touched! length 1981
CUFF.762.1: no touched! length 1198
CUFF.763.1: no touched! length 1437
CUFF.764.1: no touched! length 2966
CUFF.765.1: no touched! length 4666
CUFF.766.1: no touched! length 2015
CUFF.767.1: no touched! length 2229
CUFF.768.1: no touched! length 1578
CUFF.769.1: no touched! length 1565
CUFF.770.1: no touched! length 853
CUFF.771.1: no touched! length 1698
CUFF.772.1: no touched! length 3259
CUFF.773.1: no touched! length 4546
CUFF.774.1: no touched! length 2459
CUFF.775.1: no touched! length 4902
CUFF.776.1: no touched! length 2197
CUFF.777.1: no touched! length 581
CUFF.778.1: no touched! length 3452
CUFF.779.1: no touched! length 451
CUFF.780.1: no touched! length 1401
CUFF.781.1: no touched! length 1230
