0:972:[41384342,41385313]
125:147:[34621013,34621159]
126:170:[34624966,34625135]
127:132:[34632901,34633032]
128:198:[34634865,34635062]
120:292:[34602230,34602521]
129:93:[34614190,34614282]
122:43:[34615977,34616019]
123:125:[34617255,34617379]
124:174:[34619022,34619195]
125:147:[34621013,34621159]
126:170:[34624966,34625135]
127:132:[34632901,34633032]
130:1724:[34635097,34636820]
131:116:[37692486,37692601]
132:74:[37705943,37706016]
133:134:[37709171,37709304]
134:216:[37710029,37710244]
135:149:[37711071,37711219]
136:149:[37713696,37713844]
137:130:[37716876,37717005]
138:121:[37717209,37717329]
139:99:[37721608,37721706]
140:106:[37728917,37729022]
141:124:[37732252,37732375]
142:76:[37732481,37732556]
143:47:[37734480,37734526]
144:168:[37736390,37736557]
145:890:[37741285,37742174]
146:159:[37744671,37744829]
147:1505:[37747440,37748944]
148:73:[38739858,38739930]
149:102:[38782871,38782972]
150:87:[38792600,38792686]
151:198:[38844985,38845182]
152:121:[38850482,38850602]
153:190:[38852939,38853128]
154:149:[38858768,38858916]
155:288:[38862476,38862763]
156:148:[38865318,38865465]
157:142:[38868419,38868560]
158:308:[38877585,38877892]
159:257:[38878401,38878657]
160:3467:[38884213,38887679]
161:1481:[38791206,38792686]
151:198:[38844985,38845182]
162:94:[38850509,38850602]
153:190:[38852939,38853128]
154:149:[38858768,38858916]
155:288:[38862476,38862763]
156:148:[38865318,38865465]
157:142:[38868419,38868560]
158:308:[38877585,38877892]
163:126:[38878401,38878526]
160:3467:[38884213,38887679]
150:87:[38792600,38792686]
151:198:[38844985,38845182]
152:121:[38850482,38850602]
153:190:[38852939,38853128]
154:149:[38858768,38858916]
155:288:[38862476,38862763]
156:148:[38865318,38865465]
157:142:[38868419,38868560]
158:308:[38877585,38877892]
160:3467:[38884213,38887679]
164:86:[38792601,38792686]
151:198:[38844985,38845182]
152:121:[38850482,38850602]
153:190:[38852939,38853128]
154:149:[38858768,38858916]
155:288:[38862476,38862763]
156:148:[38865318,38865465]
157:142:[38868419,38868560]
158:308:[38877585,38877892]
163:126:[38878401,38878526]
160:3467:[38884213,38887679]
165:3897:[39751949,39755845]
166:49:[39762916,39762964]
167:58:[39763580,39763637]
168:70:[39764297,39764366]
169:73:[39772495,39772567]
170:82:[39774478,39774559]
171:205:[39775427,39775631]
172:153:[39795331,39795483]
173:143:[39870286,39870428]
165:3897:[39751949,39755845]
166:49:[39762916,39762964]
167:58:[39763580,39763637]
168:70:[39764297,39764366]
169:73:[39772495,39772567]
170:82:[39774478,39774559]
171:205:[39775427,39775631]
172:153:[39795331,39795483]
174:219:[39817326,39817544]
173:143:[39870286,39870428]
165:3897:[39751949,39755845]
166:49:[39762916,39762964]
167:58:[39763580,39763637]
168:70:[39764297,39764366]
169:73:[39772495,39772567]
170:82:[39774478,39774559]
171:205:[39775427,39775631]
172:153:[39795331,39795483]
174:219:[39817326,39817544]
175:87:[39947585,39947671]
176:103:[39956767,39956869]
177:124:[40033581,40033704]
165:3897:[39751949,39755845]
166:49:[39762916,39762964]
167:58:[39763580,39763637]
168:70:[39764297,39764366]
170:82:[39774478,39774559]
171:205:[39775427,39775631]
172:153:[39795331,39795483]
174:219:[39817326,39817544]
175:87:[39947585,39947671]
176:103:[39956767,39956869]
177:124:[40033581,40033704]
178:245:[45079431,45079675]
179:84:[45089764,45089847]
180:59:[45092188,45092246]
181:87:[45093750,45093836]
182:63:[45094516,45094578]
183:131:[45094914,45095044]
184:66:[45096152,45096217]
185:183:[45096613,45096795]
186:96:[45103159,45103254]
187:99:[45104433,45104531]
188:21:[45105650,45105670]
189:133:[45106684,45106816]
190:726:[45107396,45108121]
191:154:[45110168,45110321]
192:65:[45111319,45111383]
193:2891:[45113070,45115960]
194:1240:[9907193,9908432]
195:232:[9909046,9909277]
196:60:[9966321,9966380]
197:71:[9968515,9968585]
198:260:[14410486,14410745]
199:116:[14414822,14414937]
200:175:[14415099,14415273]
201:109:[14417483,14417591]
202:66:[14421285,14421350]
203:908:[14424116,14425023]
204:419:[14432786,14433204]
205:120:[14435160,14435279]
206:526:[14437495,14438020]
207:198:[14439172,14439369]
208:119:[14441495,14441613]
209:414:[14490158,14490571]
210:89:[15316095,15316183]
211:72:[15317359,15317430]
212:74:[15323387,15323460]
213:30:[15323552,15323581]
214:86:[15326386,15326471]
215:744:[15352022,15352765]
216:139:[15588465,15588603]
217:164:[15591883,15592046]
218:74:[15593417,15593490]
219:101:[15596758,15596858]
220:1494:[15599200,15600693]
221:888:[15857548,15858435]
222:152:[15870762,15870913]
223:208:[15872849,15873056]
224:153:[15882630,15882782]
225:131:[15884764,15884894]
226:151:[15889212,15889362]
227:73:[15893470,15893542]
228:140:[15918525,15918664]
229:7293:[16333555,16340847]
230:124:[16386664,16386787]
231:81:[16415815,16415895]
232:62:[16437065,16437126]
233:263:[17102495,17102757]
234:79:[17135209,17135287]
235:146:[17138315,17138460]
236:125:[17150222,17150346]
237:164:[17163820,17163983]
238:88:[17172075,17172162]
239:139:[17177439,17177577]
240:78:[17181127,17181204]
241:75:[17183455,17183529]
242:150:[17191016,17191165]
243:129:[17196357,17196485]
244:97:[17197284,17197380]
245:163:[17198522,17198684]
246:228:[17199295,17199522]
247:72:[17202849,17202920]
248:230:[17203719,17203948]
249:202:[17205666,17205867]
250:144:[17214716,17214859]
251:180:[17236586,17236765]
252:80:[17238584,17238663]
253:81:[17242386,17242466]
254:125:[17246721,17246845]
255:197:[17250114,17250310]
256:1757:[17250621,17252377]
257:62:[19289656,19289717]
258:311:[19628825,19629135]
259:159:[19629286,19629444]
260:88:[19632516,19632603]
261:104:[19635107,19635210]
262:1418:[19638270,19639687]
257:62:[19289656,19289717]
263:101:[19400189,19400289]
258:311:[19628825,19629135]
259:159:[19629286,19629444]
260:88:[19632516,19632603]
261:104:[19635107,19635210]
262:1418:[19638270,19639687]
257:62:[19289656,19289717]
258:311:[19628825,19629135]
259:159:[19629286,19629444]
260:88:[19632516,19632603]
262:1418:[19638270,19639687]
257:62:[19289656,19289717]
263:101:[19400189,19400289]
258:311:[19628825,19629135]
259:159:[19629286,19629444]
260:88:[19632516,19632603]
262:1418:[19638270,19639687]
264:1010:[19641432,19642441]
265:141:[19647513,19647653]
266:97:[19651280,19651376]
267:183:[19653356,19653538]
268:176:[19666586,19666761]
269:51:[19666919,19666969]
270:97:[19670050,19670146]
271:134:[19685261,19685394]
272:112:[19687462,19687573]
273:142:[19698748,19698889]
274:127:[19701485,19701611]
275:91:[19704400,19704490]
276:137:[19713729,19713865]
277:152:[19715822,19715973]
278:107:[19716271,19716377]
279:151:[19725219,19725369]
280:142:[19726039,19726180]
281:108:[19732073,19732180]
282:110:[19737456,19737565]
283:133:[19744509,19744641]
284:37:[19751599,19751635]
285:153:[19755943,19756095]
286:69:[19770195,19770263]
287:132:[19770515,19770646]
288:177:[19775794,19775970]
289:1240:[22114912,22116151]
290:131:[22150735,22150865]
291:121:[22150960,22151080]
292:127:[22153666,22153792]
293:93:[22153887,22153979]
294:141:[22154624,22154764]
295:54:[22158353,22158406]
296:115:[22175312,22175426]
297:305:[22370632,22370936]
298:76:[22652897,22652972]
299:208:[22656513,22656720]
300:145:[22658588,22658732]
301:139:[22664423,22664561]
302:119:[22696702,22696820]
303:162:[22707824,22707985]
304:147:[22710708,22710854]
305:152:[22746182,22746333]
306:189:[22782593,22782781]
307:98:[22790792,22790889]
308:175:[22804427,22804601]
309:121:[22838926,22839046]
310:123:[22840982,22841104]
311:182:[22849611,22849792]
312:206:[22881171,22881376]
313:121:[22906857,22906977]
314:2352:[22910166,22912517]
315:125:[27107257,27107381]
316:104:[27113883,27113986]
317:146:[27117520,27117665]
318:86:[27121346,27121431]
319:247:[27124299,27124545]
320:196:[27130320,27130515]
321:55:[27134622,27134676]
322:142:[27136520,27136661]
323:194:[27136905,27137098]
324:3458:[27141314,27144771]
325:562:[27107328,27107889]
316:104:[27113883,27113986]
317:146:[27117520,27117665]
318:86:[27121346,27121431]
319:247:[27124299,27124545]
320:196:[27130320,27130515]
321:55:[27134622,27134676]
322:142:[27136520,27136661]
323:194:[27136905,27137098]
324:3458:[27141314,27144771]
326:2424:[27838527,27840950]
327:159:[27852590,27852748]
328:104:[27938584,27938687]
329:396:[27945186,27945581]
330:36:[29094697,29094732]
331:113:[29115711,29115823]
332:216:[29118136,29118351]
333:163:[29123390,29123552]
334:158:[30452872,30453029]
335:73:[30457392,30457464]
336:106:[30458133,30458238]
337:77:[30463821,30463897]
338:95:[30463988,30464082]
339:144:[30464759,30464902]
340:63:[30521509,30521571]
341:117:[30532261,30532377]
342:1171:[30547032,30548202]
343:454:[30909253,30909706]
344:252:[30927372,30927623]
345:227:[30933944,30934170]
346:219:[30949283,30949501]
347:120:[30953744,30953863]
348:225:[30959685,30959909]
349:205:[30961158,30961362]
350:115:[30963431,30963545]
351:109:[30971149,30971257]
352:145:[31015145,31015289]
353:175:[31023437,31023611]
354:55:[31027129,31027183]
355:183:[31045302,31045484]
356:259:[31062047,31062305]
357:169:[31066214,31066382]
358:583:[31311700,31312282]
359:161:[30925865,30926025]
344:252:[30927372,30927623]
345:227:[30933944,30934170]
346:219:[30949283,30949501]
347:120:[30953744,30953863]
348:225:[30959685,30959909]
349:205:[30961158,30961362]
350:115:[30963431,30963545]
360:46:[30968845,30968890]
351:109:[30971149,30971257]
352:145:[31015145,31015289]
353:175:[31023437,31023611]
354:55:[31027129,31027183]
355:183:[31045302,31045484]
356:259:[31062047,31062305]
357:169:[31066214,31066382]
358:583:[31311700,31312282]
361:2147:[31586323,31588469]
362:622:[33245627,33246248]
363:294:[33296779,33297072]
364:57:[33312476,33312532]
365:137:[33318347,33318483]
366:129:[33331154,33331282]
367:137:[33340561,33340697]
368:164:[33346866,33347029]
369:85:[33355838,33355922]
370:49:[33362441,33362489]
371:182:[33368080,33368261]
372:5540:[33370838,33376377]
373:3044:[34001068,34004111]
374:219:[34011217,34011435]
375:110:[34011980,34012089]
376:72:[34014205,34014276]
377:40:[34014404,34014443]
378:49:[34015719,34015767]
379:40:[34017277,34017316]
380:145:[34017955,34018099]
381:211:[34018702,34018912]
382:164:[34022493,34022656]
383:80:[34025597,34025676]
384:217:[34028996,34029212]
385:119:[34029312,34029430]
386:158:[34030025,34030182]
387:160:[34037222,34037381]
388:194:[34038252,34038445]
389:142:[34038742,34038883]
390:86:[34042597,34042682]
391:193:[34045649,34045841]
392:25:[34048641,34048665]
393:158:[34050954,34051111]
394:154:[34053805,34053958]
395:83:[34056347,34056429]
396:171:[34058057,34058227]
397:98:[34059287,34059384]
398:63:[34060615,34060677]
399:85:[34066537,34066621]
400:227:[34067366,34067592]
401:269:[34072147,34072415]
402:88:[34074270,34074357]
403:147:[34099082,34099228]
404:96:[34100256,34100351]
373:3044:[34001068,34004111]
405:25:[34007170,34007194]
374:219:[34011217,34011435]
375:110:[34011980,34012089]
376:72:[34014205,34014276]
377:40:[34014404,34014443]
379:40:[34017277,34017316]
380:145:[34017955,34018099]
381:211:[34018702,34018912]
382:164:[34022493,34022656]
383:80:[34025597,34025676]
384:217:[34028996,34029212]
385:119:[34029312,34029430]
386:158:[34030025,34030182]
387:160:[34037222,34037381]
388:194:[34038252,34038445]
389:142:[34038742,34038883]
390:86:[34042597,34042682]
391:193:[34045649,34045841]
392:25:[34048641,34048665]
393:158:[34050954,34051111]
394:154:[34053805,34053958]
395:83:[34056347,34056429]
396:171:[34058057,34058227]
397:98:[34059287,34059384]
398:63:[34060615,34060677]
399:85:[34066537,34066621]
400:227:[34067366,34067592]
401:269:[34072147,34072415]
402:88:[34074270,34074357]
403:147:[34099082,34099228]
406:104:[34100147,34100250]
373:3044:[34001068,34004111]
374:219:[34011217,34011435]
375:110:[34011980,34012089]
376:72:[34014205,34014276]
380:145:[34017955,34018099]
381:211:[34018702,34018912]
382:164:[34022493,34022656]
383:80:[34025597,34025676]
384:217:[34028996,34029212]
385:119:[34029312,34029430]
386:158:[34030025,34030182]
387:160:[34037222,34037381]
388:194:[34038252,34038445]
389:142:[34038742,34038883]
390:86:[34042597,34042682]
391:193:[34045649,34045841]
407:167:[34050954,34051120]
394:154:[34053805,34053958]
395:83:[34056347,34056429]
396:171:[34058057,34058227]
397:98:[34059287,34059384]
398:63:[34060615,34060677]
399:85:[34066537,34066621]
400:227:[34067366,34067592]
401:269:[34072147,34072415]
402:88:[34074270,34074357]
403:147:[34099082,34099228]
406:104:[34100147,34100250]
408:38:[33664123,33664160]
409:141:[33665303,33665443]
410:117:[33671272,33671388]
411:101:[33678950,33679050]
412:234:[33686861,33687094]
413:4082:[33683329,33687410]
414:601:[33688776,33689376]
415:243:[33689986,33690228]
416:199:[33691526,33691724]
417:111:[33692840,33692950]
418:145:[33694110,33694254]
419:108:[33694787,33694894]
420:113:[33696800,33696912]
421:162:[33697538,33697699]
422:104:[33705625,33705728]
423:173:[33706471,33706643]
424:65:[33709402,33709466]
425:112:[33709712,33709823]
426:195:[33711015,33711209]
427:60:[33713774,33713833]
428:188:[33716878,33717065]
429:203:[33717682,33717884]
430:857:[33719264,33720120]
431:181:[33721612,33721792]
432:220:[33723012,33723231]
433:198:[33725018,33725215]
434:172:[33726241,33726412]
435:140:[33727167,33727306]
436:118:[33727757,33727874]
437:121:[33729845,33729965]
438:114:[33732104,33732217]
439:118:[33733315,33733432]
440:131:[33734200,33734330]
441:175:[33735464,33735638]
442:139:[33738926,33739064]
443:197:[33740711,33740907]
444:126:[33744815,33744940]
445:127:[33745955,33746081]
446:87:[33747706,33747792]
447:98:[33750753,33750850]
448:134:[33755730,33755863]
449:153:[33756621,33756773]
450:141:[33757853,33757993]
451:236:[33765077,33765312]
452:571:[33784751,33785321]
453:198:[33825619,33825816]
454:125:[33829904,33830028]
455:154:[33840003,33840156]
456:145:[33867336,33867480]
457:82:[33873724,33873805]
458:91:[33876235,33876325]
459:575:[33887123,33887697]
460:2084:[33947150,33949233]
461:139:[33951003,33951141]
462:217:[33954509,33954725]
463:146:[33956470,33956615]
464:116:[33957730,33957845]
373:3044:[34001068,34004111]
405:25:[34007170,34007194]
374:219:[34011217,34011435]
375:110:[34011980,34012089]
376:72:[34014205,34014276]
377:40:[34014404,34014443]
378:49:[34015719,34015767]
379:40:[34017277,34017316]
380:145:[34017955,34018099]
381:211:[34018702,34018912]
382:164:[34022493,34022656]
383:80:[34025597,34025676]
384:217:[34028996,34029212]
385:119:[34029312,34029430]
386:158:[34030025,34030182]
387:160:[34037222,34037381]
388:194:[34038252,34038445]
389:142:[34038742,34038883]
390:86:[34042597,34042682]
391:193:[34045649,34045841]
392:25:[34048641,34048665]
393:158:[34050954,34051111]
394:154:[34053805,34053958]
395:83:[34056347,34056429]
396:171:[34058057,34058227]
397:98:[34059287,34059384]
398:63:[34060615,34060677]
399:85:[34066537,34066621]
400:227:[34067366,34067592]
401:269:[34072147,34072415]
402:88:[34074270,34074357]
403:147:[34099082,34099228]
404:96:[34100256,34100351]
465:581:[34961647,34962227]
466:47:[34963467,34963513]
467:107:[34968036,34968142]
468:123:[34969585,34969707]
469:100:[34971455,34971554]
470:113:[34974539,34974651]
471:135:[34975709,34975843]
472:70:[34985843,34985912]
473:46:[34989011,34989056]
474:74:[34994301,34994374]
475:79:[34996988,34997066]
476:73:[35003791,35003863]
477:175:[35013986,35014160]
478:237:[35014783,35015019]
479:61:[35091101,35091161]
480:94:[35093482,35093575]
481:65:[35094892,35094956]
482:162:[35107348,35107509]
483:181:[35122447,35122627]
484:98:[35124114,35124211]
485:102:[35127601,35127702]
486:65:[35134226,35134290]
487:139:[35138178,35138316]
488:117:[35140016,35140132]
489:264:[35144364,35144627]
490:151:[35147032,35147182]
491:142:[35147271,35147412]
492:89:[35153764,35153852]
493:141:[35154297,35154437]
494:129:[35166644,35166772]
495:231:[35169682,35169912]
496:123:[35172111,35172233]
497:16:[35174733,35174748]
498:249:[35183278,35183526]
499:161:[35186216,35186376]
500:207:[35190570,35190776]
501:84:[35191544,35191627]
502:168:[35195790,35195957]
503:47:[35199121,35199167]
504:123:[35201927,35202049]
505:119:[35206610,35206728]
506:193:[35208744,35208936]
507:1513:[35209290,35210802]
478:237:[35014783,35015019]
479:61:[35091101,35091161]
480:94:[35093482,35093575]
481:65:[35094892,35094956]
482:162:[35107348,35107509]
483:181:[35122447,35122627]
484:98:[35124114,35124211]
485:102:[35127601,35127702]
486:65:[35134226,35134290]
487:139:[35138178,35138316]
488:117:[35140016,35140132]
489:264:[35144364,35144627]
490:151:[35147032,35147182]
491:142:[35147271,35147412]
492:89:[35153764,35153852]
493:141:[35154297,35154437]
494:129:[35166644,35166772]
495:231:[35169682,35169912]
496:123:[35172111,35172233]
497:16:[35174733,35174748]
498:249:[35183278,35183526]
499:161:[35186216,35186376]
500:207:[35190570,35190776]
501:84:[35191544,35191627]
502:168:[35195790,35195957]
503:47:[35199121,35199167]
504:123:[35201927,35202049]
505:119:[35206610,35206728]
506:193:[35208744,35208936]
508:123:[35229039,35229161]
509:108:[35230989,35231096]
510:185:[35237454,35237638]
511:100:[35239536,35239635]
512:169:[35247657,35247825]
513:214:[35254546,35254759]
514:123:[35255853,35255975]
515:84:[35257344,35257427]
516:85:[35257742,35257826]
517:175:[35258590,35258764]
518:1155:[35260455,35261609]
519:1772:[35888783,35890554]
520:161:[35893796,35893956]
521:175:[35895834,35896008]
522:170:[35986576,35986745]
519:1772:[35888783,35890554]
520:161:[35893796,35893956]
521:175:[35895834,35896008]
523:325:[35987058,35987382]
524:1375:[36041687,36043061]
525:111:[36079577,36079687]
526:127:[36080241,36080367]
527:108:[36080997,36081104]
528:183:[36081654,36081836]
529:1902:[36088618,36090519]
530:4811:[36160097,36164907]
531:163:[36171597,36171759]
532:193:[36206706,36206898]
533:106:[36231770,36231875]
534:158:[36252853,36253010]
535:1849:[36259139,36260987]
530:4811:[36160097,36164907]
531:163:[36171597,36171759]
532:193:[36206706,36206898]
533:106:[36231770,36231875]
534:158:[36252853,36253010]
536:255:[36259139,36259393]
537:40:[36265221,36265260]
538:118:[36421138,36421255]
539:132:[36421464,36421595]
540:54:[37536838,37536891]
541:165:[37537005,37537169]
542:183:[37571367,37571549]
543:172:[37572628,37572799]
544:191:[37581012,37581202]
545:100:[37583850,37583949]
546:125:[37584271,37584395]
547:111:[37586378,37586488]
548:116:[37586739,37586854]
549:122:[37591669,37591790]
550:121:[37595528,37595648]
551:104:[37597862,37597965]
552:193:[37599983,37600175]
553:686:[37602747,37603432]
554:273:[37605101,37605373]
555:154:[37609559,37609712]
556:102:[37610898,37610999]
557:192:[37612062,37612253]
558:1631:[37617345,37618975]
559:113:[37619814,37619926]
560:190:[37620677,37620866]
561:124:[37623459,37623582]
562:139:[37626069,37626207]
563:57:[37632974,37633030]
564:106:[37635843,37635948]
565:68:[37636045,37636112]
566:146:[37642310,37642455]
567:81:[37649318,37649398]
568:111:[37650272,37650382]
569:148:[37650506,37650653]
